inicio,fin,cantidad_viajes
3567 Ranch to Market Road 2222,3304 Guadalupe Street,14
North Mopac Service Road,1702 Briar Street,14
"Life Time, 4210 West Braker Lane",106 East 55th Street,14
Ann & Roy Butler Hike and Bike Trail,909 East Koenig Lane,14
2106 Shoalmont Drive,East 20th Street,14
2800 Tom Miller Street,2908 Beanna Street,14
1403 East 2nd Street,8608 Primrose Lane,14
2204 Vanderbilt Lane,1403 East 2nd Street,14
3567 Ranch to Market Road 2222,207 West 18th Street,14
East 20th Street,Gillis District Park Trail,14
490 Little Texas Lane,400 West Saint Elmo Road,14
1204 West 29th Street,3708 Meredith Street,14
1403 East 2nd Street,"Circuit of The Americas, Swiss Drive",14
490 Little Texas Lane,West 15th Street,14
4501 Rowood Road,Nash Hernandez Sr Road,14
1204 West 29th Street,3811 Avenue H,14
5001 Wasson Road,1500 Royal Crest Drive,14
3400 Catalina Drive,3001 South Congress Avenue,14
3304 Guadalupe Street,Arnulfo Alonso Way,14
2106 West 7th Street,1903 Fairlawn Lane,14
5001 Wasson Road,1702 Briar Street,14
East 20th Street,2117 West 49th Street,14
811 East Riverside Drive,2793 East 7th Street,14
2106 West 7th Street,2106 Shoalmont Drive,14
3707 South 2nd Street,East 20th Street,14
2500 Candlewood Court,2505 Longview Street,14
2008 Kinney Avenue,Lady Bird Lake Hike and Bike Trail,14
3304 Guadalupe Street,Nash Hernandez Sr Road,14
2908 Beanna Street,1911 Lightsey Road,14
1517 Summer Stone Drive,1915 East Martin Luther King Jr Boulevard,14
2500 Candlewood Court,2793 East 7th Street,14
948 East 50th Street,2241 Cromwell Circle,14
4701 Monterey Oaks Boulevard,1702 Briar Street,14
1155 Curve Street,"St. Edwards University, 3001 South Congress Avenue",14
3708 Meredith Street,1155 Curve Street,14
2908 Beanna Street,2008 Kinney Avenue,14
811 East Riverside Drive,1000 East 41st Street,14
"Popeyes, Cactus Lane",2505 Longview Street,14
5001 Wasson Road,West 15th Street,14
"Yellow Jacket Stadium, Hargrave Street",400 1/2 South 1st Street,14
East 20th Street,2507 Bridle Path,14
2500 Candlewood Court,1204 West 29th Street,14
3405 Westledge Circle,4200 North Lamar Boulevard,14
2793 East 7th Street,3400 Catalina Drive,14
3707 South 2nd Street,2106 West 7th Street,14
1419 Corona Drive,909 East Koenig Lane,14
2400 East Oltorf Street,3301 Hollywood Avenue,14
2400 East Oltorf Street,3304 Guadalupe Street,14
2793 East 7th Street,3309 East 17th Street,14
1915 East Martin Luther King Jr Boulevard,3400 Catalina Drive,14
12111 Northern Walnut Creek Trail,2605 Whitis Avenue,13
1402 Hillmont Street,Country Club Creek Trail,13
2600 La Ronde Street,2505 Longview Street,13
3301 Hollywood Avenue,1400 South Pleasant Valley Road,13
3301 Hollywood Avenue,1304 Cometa Street,13
12111 Northern Walnut Creek Trail,3501 Duval Road,13
"St. Edwards University, 3001 South Congress Avenue",Gillis District Park Trail,13
1702 Briar Street,4504 Avenue C,13
1500 Royal Crest Drive,405 East Ben White Boulevard,13
909 East Koenig Lane,313 Lone Oak Drive,13
8608 Primrose Lane,2015 Cedar Bend Drive,13
North Mopac Service Road,1915 East Martin Luther King Jr Boulevard,13
600 Hammack Drive,2106 West 7th Street,13
2600 La Ronde Street,11405 Alterra Parkway,13
3405 Westledge Circle,1403 East 2nd Street,13
2907 Townes Lane,1204 West 29th Street,13
"Barley Bean, South Lamar Boulevard",2908 Beanna Street,13
7088 Easy Wind Drive,3811 Avenue H,13
2904 Barton Skyway,5209 North Lamar Boulevard,13
Shops at Arbor Trail,Shops at Arbor Trail,13
"Hotel Granduca Pool, Capital Ridge Driveway","Hotel Granduca Pool, Capital Ridge Driveway",13
9669 New Airport Drive,1402 Hillmont Street,13
2600 La Ronde Street,2605 Whitis Avenue,13
1702 Briar Street,4707 Weidemar Lane,13
3400 Catalina Drive,East 20th Street,13
2517 Walsh Tarlton Lane,1517 Summer Stone Drive,13
400 West Saint Elmo Road,313 Lone Oak Drive,13
1928 Holly Hill Drive,"Barley Bean, South Lamar Boulevard",13
2517 Walsh Tarlton Lane,1903 Fairlawn Lane,13
Nash Hernandez Sr Road,842 Springdale Road,13
"Riverside Golf Course, 1020 Grove Boulevard",600 Hammack Drive,13
1402 Hillmont Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",13
2106 Shoalmont Drive,3811 Avenue H,13
2106 Shoalmont Drive,1915 East Martin Luther King Jr Boulevard,13
Nash Hernandez Sr Road,909 East Koenig Lane,13
"St. Francis School, Twin Crest Drive",2023 East 5th Street,13
"Barley Bean, South Lamar Boulevard",405 East Ben White Boulevard,13
400 West Saint Elmo Road,4701 Monterey Oaks Boulevard,13
"Hotel Granduca Pool, Capital Ridge Driveway",Nash Hernandez Sr Road,13
3400 Catalina Drive,2400 East Oltorf Street,13
Nash Hernandez Sr Road,"Popeyes, Cactus Lane",13
2508 Aldford Drive,2624 Western Trails Boulevard,13
2106 Shoalmont Drive,41 Margranita Crescent,13
1702 Briar Street,"Cambria Hotel Austin Airport, Discovery Lane",13
2517 Walsh Tarlton Lane,"Trader Joes, 2805 Bee Caves Road",13
"Great Hills Park & Ride, OChester Boulevard",2605 Whitis Avenue,13
909 East Koenig Lane,2400 East Oltorf Street,13
405 East Ben White Boulevard,1403 East 2nd Street,13
919 Park Plaza,"St. Francis School, Twin Crest Drive",13
Nash Hernandez Sr Road,3811 Avenue H,13
909 East Koenig Lane,1629 West 11 1/2 Street,13
3400 Catalina Drive,3707 South 2nd Street,13
2517 Walsh Tarlton Lane,490 Little Texas Lane,13
2117 West 49th Street,2106 West 7th Street,13
3405 Westledge Circle,3600 Presidential Boulevard,13
11700 Stonehollow Drive,3501 Duval Road,13
1731 East 38½ Street,1000 East 41st Street,13
405 East Ben White Boulevard,207 West 18th Street,13
405 East Ben White Boulevard,Reserve Road,13
405 East Ben White Boulevard,2505 Longview Street,13
2002 Dexter Street,2400 East Oltorf Street,13
611 Fairfield Lane,North Mopac Service Road,13
611 Fairfield Lane,1500 Royal Crest Drive,13
South Interstate 35,East 20th Street,13
South Interstate 35,"Circuit of The Americas, Swiss Drive",13
9669 New Airport Drive,West Gibson Street,13
1104 Flanagan Cove,2605 Whitis Avenue,13
2517 Walsh Tarlton Lane,811 East Riverside Drive,13
North Mopac Service Road,1629 West 11 1/2 Street,13
2203 Philomena Street,7100 Carver Avenue,13
1104 Flanagan Cove,1911 Lightsey Road,13
South Interstate 35,1702 Briar Street,13
8608 Primrose Lane,7088 Easy Wind Drive,13
Nash Hernandez Sr Road,2500 Candlewood Court,13
2117 West 49th Street,2106 Shoalmont Drive,13
2108 White Horse Trail,207 West 18th Street,13
Arnulfo Alonso Way,3501 Duval Road,13
909 East Koenig Lane,"Infiniti, Burnet Road",13
Ann & Roy Butler Hike and Bike Trail,1903 Fairlawn Lane,13
1731 East 38½ Street,842 Springdale Road,13
1419 Corona Drive,3811 Avenue H,13
South Interstate 35,2106 West 7th Street,13
8608 Primrose Lane,909 East Koenig Lane,13
1402 Hillmont Street,7804 Tisdale Drive,13
909 East Koenig Lane,Arboretum Boulevard,13
6210 Shadow Valley Drive,"Panera Bread, North Capital of Texas Highway",13
North Mopac Service Road,1000 East 41st Street,13
9669 New Airport Drive,"Circuit of The Americas, Swiss Drive",13
"Lions Municipal Golf Course, 2901 Enfield Road",1402 Hillmont Street,13
2203 Philomena Street,3301 Hollywood Avenue,13
909 East Koenig Lane,2108 White Horse Trail,13
"Popeyes, Cactus Lane",2904 Barton Skyway,13
North Mopac Service Road,3819 Jefferson Street,13
2008 Kinney Avenue,2241 Cromwell Circle,13
1157 Salina Street,2800 Tom Miller Street,13
811 East Riverside Drive,Ann & Roy Hike & Bike Trail,13
1500 Royal Crest Drive,North Mopac Service Road,13
3707 South 2nd Street,2117 West 49th Street,13
11405 Alterra Parkway,2203 Philomena Street,13
11405 Alterra Parkway,2008 Kinney Avenue,13
3811 Avenue H,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",13
2008 Kinney Avenue,2624 Western Trails Boulevard,13
3819 Jefferson Street,106 East 55th Street,13
3819 Jefferson Street,1204 West 29th Street,13
1157 Salina Street,3309 East 17th Street,13
1106 Clayton Lane,Lady Bird Lake Hike and Bike Trail,13
"Infiniti, Burnet Road",West Gibson Street,13
811 East Riverside Drive,South Interstate 35,13
2015 Cedar Bend Drive,Red River Street,13
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",11405 Alterra Parkway,13
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",106 East 55th Street,13
2908 Beanna Street,7100 Carver Avenue,13
"Infiniti, Burnet Road","St. Francis School, Twin Crest Drive",13
1157 Salina Street,3819 Jefferson Street,13
1517 Summer Stone Drive,490 Little Texas Lane,13
1500 Royal Crest Drive,9669 New Airport Drive,13
2908 Beanna Street,7600 Wood Hollow Drive,13
Lady Bird Lake Hike and Bike Trail,Gillis District Park Trail,13
Reserve Road,1517 Summer Stone Drive,13
1106 Clayton Lane,5209 North Lamar Boulevard,13
2793 East 7th Street,948 East 50th Street,13
2609 Deerfoot Trail,2605 Whitis Avenue,13
7516 Hardy Drive,2605 Whitis Avenue,13
2624 Western Trails Boulevard,1155 Curve Street,13
1157 Salina Street,2241 Cromwell Circle,13
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",3811 Avenue H,13
7804 Tisdale Drive,North Mopac Service Road,13
3304 Guadalupe Street,3708 Meredith Street,13
"Popeyes, Cactus Lane",4701 Monterey Oaks Boulevard,13
"Popeyes, Cactus Lane",2212 Village Way Drive,13
"Popeyes, Cactus Lane",1903 Fairlawn Lane,13
7804 Tisdale Drive,207 West 18th Street,13
"Popeyes, Cactus Lane",1629 West 11 1/2 Street,13
2106 West 7th Street,3811 Avenue H,13
811 East Riverside Drive,1903 Fairlawn Lane,13
1157 Salina Street,1419 Corona Drive,13
2908 Beanna Street,3201 Kay Street,13
Lady Bird Lake Hike and Bike Trail,2008 Kinney Avenue,13
1155 Curve Street,2203 Philomena Street,13
811 East Riverside Drive,2400 East Oltorf Street,13
2624 Western Trails Boulevard,3707 South 2nd Street,13
3811 Avenue H,2106 Shoalmont Drive,13
3707 South 2nd Street,Lady Bird Lake Hike and Bike Trail,13
7600 Wood Hollow Drive,1000 East 41st Street,13
1517 Summer Stone Drive,1155 Curve Street,13
2793 East 7th Street,106 East 55th Street,13
2793 East 7th Street,1304 Cometa Street,13
Ann & Roy Hike & Bike Trail,2505 Longview Street,13
2793 East 7th Street,1629 West 11 1/2 Street,13
2008 Kinney Avenue,South Interstate 35,13
11405 Alterra Parkway,4368 Freidrich Lane,13
Lady Bird Lake Hike and Bike Trail,400 West Saint Elmo Road,13
2008 Kinney Avenue,3400 Catalina Drive,13
3819 Jefferson Street,3708 Meredith Street,13
2015 Cedar Bend Drive,Shops at Arbor Trail,13
400 West Saint Elmo Road,2605 Whitis Avenue,13
207 West 18th Street,405 East Ben White Boulevard,13
1500 Royal Crest Drive,510 Gate Tree Lane,13
2023 East 5th Street,"The Pearl, 1301 West Koenig Lane",13
2605 Whitis Avenue,3567 Ranch to Market Road 2222,13
2800 Tom Miller Street,3309 East 17th Street,13
207 West 18th Street,1419 Corona Drive,13
207 West 18th Street,2003 Northridge Drive,13
2702 Valley Spring Road,2505 Longview Street,13
2003 Northridge Drive,2003 Northridge Drive,13
2800 Tom Miller Street,400 1/2 South 1st Street,13
2207 De Verne Street,Nash Hernandez Sr Road,13
3301 Hollywood Avenue,2793 East 7th Street,13
207 West 18th Street,3405 Westledge Circle,13
North Mopac Service Road,"The Pearl, 1301 West Koenig Lane",13
North Mopac Service Road,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",13
1403 East 2nd Street,7516 Hardy Drive,13
2003 Northridge Drive,1157 Salina Street,13
400 1/2 South 1st Street,8608 Primrose Lane,13
1629 West 11 1/2 Street,"Lions Municipal Golf Course, 2901 Enfield Road",13
2204 Vanderbilt Lane,1155 Curve Street,13
"Life Time, 4210 West Braker Lane",207 West 18th Street,13
207 West 18th Street,919 Park Plaza,13
207 West 18th Street,"Circuit of The Americas, Swiss Drive",13
2605 Whitis Avenue,1517 Summer Stone Drive,13
3309 East 17th Street,2800 Tom Miller Street,13
3301 Hollywood Avenue,2507 Bridle Path,13
2002 Dexter Street,811 East Riverside Drive,13
2600 La Ronde Street,West 15th Street,13
3309 East 17th Street,3301 Hollywood Avenue,13
1629 West 11 1/2 Street,3405 Westledge Circle,13
400 1/2 South 1st Street,2901 Via Fortuna,13
1629 West 11 1/2 Street,3126 Honey Tree Lane,13
"Omni Barton Creek Resort, 8108 Barton Club Drives","Hotel Granduca Pool, Capital Ridge Driveway",13
1500 Royal Crest Drive,611 Fairfield Lane,13
2609 Deerfoot Trail,2008 Kinney Avenue,13
2908 Beanna Street,Ann & Roy Hike & Bike Trail,13
2023 East 5th Street,1928 Holly Hill Drive,13
2908 Beanna Street,"Barley Bean, South Lamar Boulevard",13
3301 Hollywood Avenue,Ann & Roy Butler Hike and Bike Trail,13
2207 De Verne Street,2106 West 7th Street,13
3301 Hollywood Avenue,9669 New Airport Drive,13
3309 East 17th Street,1402 Hillmont Street,13
7100 Carver Avenue,2002 Dexter Street,13
3309 East 17th Street,1500 Royal Crest Drive,13
"Panera Bread, North Capital of Texas Highway",1500 Royal Crest Drive,13
3301 Hollywood Avenue,7088 Easy Wind Drive,13
2605 Whitis Avenue,"Life Time, 4210 West Braker Lane",13
2023 East 5th Street,"Cambria Hotel Austin Airport, Discovery Lane",13
2003 Northridge Drive,Arnulfo Alonso Way,13
1517 Summer Stone Drive,South Mopac Service Road,13
Reserve Road,490 Little Texas Lane,13
2003 Northridge Drive,Ann & Roy Hike & Bike Trail,13
2800 Tom Miller Street,2106 West 7th Street,13
Reserve Road,510 Gate Tree Lane,13
3309 East 17th Street,1731 East 38½ Street,13
"Panera Bread, North Capital of Texas Highway",1155 Curve Street,13
400 1/2 South 1st Street,2203 Philomena Street,13
400 1/2 South 1st Street,2212 Village Way Drive,13
1629 West 11 1/2 Street,3005 Scenic Drive,13
"Panera Bread, North Capital of Texas Highway",106 East 55th Street,13
207 West 18th Street,2204 Vanderbilt Lane,13
1104 Flanagan Cove,East 20th Street,13
"St. Francis School, Twin Crest Drive",2908 Beanna Street,13
2500 Candlewood Court,2517 Walsh Tarlton Lane,13
2108 White Horse Trail,909 East Koenig Lane,13
1903 Fairlawn Lane,Arnulfo Alonso Way,13
5209 North Lamar Boulevard,1106 Clayton Lane,13
1915 East Martin Luther King Jr Boulevard,"Barley Bean, South Lamar Boulevard",13
5209 North Lamar Boulevard,1419 Corona Drive,13
2507 Bridle Path,41 Margranita Crescent,13
2500 Candlewood Court,Gillis District Park Trail,13
4501 Fairview Drive,2106 West 7th Street,13
West Gibson Street,East William Cannon Drive,13
West Gibson Street,"Hotel Granduca Pool, Capital Ridge Driveway",13
2241 Cromwell Circle,Lady Bird Lake Hike and Bike Trail,13
2305 Newfield Lane,3304 Guadalupe Street,13
2305 Newfield Lane,West 15th Street,13
3126 Honey Tree Lane,1403 East 2nd Street,13
106 East 55th Street,7088 Easy Wind Drive,13
2241 Cromwell Circle,2624 Western Trails Boulevard,13
1000 East 41st Street,2003 Northridge Drive,13
"St. Francis School, Twin Crest Drive",611 Fairfield Lane,13
West 15th Street,"Infiniti, Burnet Road",13
5700 South Mopac Expressway,5001 Wasson Road,13
4608 Mount Vernon Drive,1403 East 2nd Street,13
2108 White Horse Trail,3304 Guadalupe Street,13
"Trader Joes, 2805 Bee Caves Road",Reserve Road,13
1915 East Martin Luther King Jr Boulevard,1517 Summer Stone Drive,13
1915 East Martin Luther King Jr Boulevard,2507 Bridle Path,13
106 East 55th Street,Nash Hernandez Sr Road,13
490 Little Texas Lane,Lady Bird Lake Hike and Bike Trail,13
490 Little Texas Lane,Nash Hernandez Sr Road,13
4504 Avenue C,2500 Candlewood Court,13
4501 Rowood Road,1106 Clayton Lane,13
5700 South Mopac Expressway,2106 West 7th Street,13
Country Club Creek Trail,313 Lone Oak Drive,13
"Cambria Hotel Austin Airport, Discovery Lane",2106 West 7th Street,13
4368 Freidrich Lane,2207 De Verne Street,13
1911 Lightsey Road,2400 East Oltorf Street,13
1911 Lightsey Road,2609 Deerfoot Trail,13
West 15th Street,1106 Clayton Lane,13
"The Pearl, 1301 West Koenig Lane",2505 Longview Street,13
1915 East Martin Luther King Jr Boulevard,"Infiniti, Burnet Road",13
2505 Longview Street,"The Pearl, 1301 West Koenig Lane",13
1915 East Martin Luther King Jr Boulevard,2203 Philomena Street,13
Country Club Creek Trail,400 1/2 South 1st Street,13
5700 South Mopac Expressway,2605 Whitis Avenue,13
1000 East 41st Street,7088 Easy Wind Drive,13
5305 East Oltorf Street,1400 South Pleasant Valley Road,13
5005 Red Bluff Road,3301 Hollywood Avenue,13
East William Cannon Drive,207 West 18th Street,13
4501 Rowood Road,"Hotel Granduca Pool, Capital Ridge Driveway",13
2117 West 49th Street,1629 West 11 1/2 Street,13
2108 White Horse Trail,"Infiniti, Burnet Road",13
East 20th Street,2203 Philomena Street,13
2241 Cromwell Circle,5005 Red Bluff Road,13
4707 Weidemar Lane,2023 East 5th Street,13
2400 East Oltorf Street,4368 Freidrich Lane,13
5005 Red Bluff Road,1000 East 41st Street,13
4200 North Lamar Boulevard,2907 Townes Lane,13
1903 Fairlawn Lane,3707 South 2nd Street,13
1911 Lightsey Road,1104 Flanagan Cove,13
West 15th Street,3819 Jefferson Street,13
1400 South Pleasant Valley Road,106 East 55th Street,13
2500 Candlewood Court,405 East Ben White Boulevard,13
1400 South Pleasant Valley Road,611 Fairfield Lane,13
1400 South Pleasant Valley Road,Ann & Roy Butler Hike and Bike Trail,13
2505 Longview Street,7511 Meadowview Lane,13
Gillis District Park Trail,2793 East 7th Street,13
East 20th Street,3001 South Congress Avenue,13
"Yellow Jacket Stadium, Hargrave Street",2505 Longview Street,13
2241 Cromwell Circle,510 Gate Tree Lane,13
"Yellow Jacket Stadium, Hargrave Street",2241 Cromwell Circle,13
5005 Red Bluff Road,2605 Whitis Avenue,13
3005 Scenic Drive,2505 Longview Street,13
2241 Cromwell Circle,2207 De Verne Street,13
"Yellow Jacket Stadium, Hargrave Street",1155 Curve Street,13
4200 North Lamar Boulevard,Nash Hernandez Sr Road,13
Gillis District Park Trail,811 East Riverside Drive,13
West 15th Street,Arnulfo Alonso Way,13
2108 White Horse Trail,400 1/2 South 1st Street,13
5209 North Lamar Boulevard,Arboretum Boulevard,13
"Cambria Hotel Austin Airport, Discovery Lane",909 East Koenig Lane,13
1915 East Martin Luther King Jr Boulevard,"St. Francis School, Twin Crest Drive",13
Gillis District Park Trail,2106 West 7th Street,13
2500 Candlewood Court,811 East Riverside Drive,13
2008 Kinney Avenue,611 Fairfield Lane,12
West 15th Street,2400 East Oltorf Street,12
1155 Curve Street,1928 Holly Hill Drive,12
2908 Beanna Street,3309 East 17th Street,12
Lady Bird Lake Hike and Bike Trail,2117 West 49th Street,12
2908 Beanna Street,600 Hammack Drive,12
East William Cannon Drive,7511 Meadowview Lane,12
Lady Bird Lake Hike and Bike Trail,2106 Shoalmont Drive,12
7600 Wood Hollow Drive,400 1/2 South 1st Street,12
3811 Avenue H,North Mopac Service Road,12
11405 Alterra Parkway,1157 Salina Street,12
3811 Avenue H,"St. Francis School, Twin Crest Drive",12
7516 Hardy Drive,North Mopac Service Road,12
7516 Hardy Drive,7516 Hardy Drive,12
106 East 55th Street,7100 Carver Avenue,12
1915 East Martin Luther King Jr Boulevard,Ann & Roy Hike & Bike Trail,12
2008 Kinney Avenue,3301 Hollywood Avenue,12
7516 Hardy Drive,400 1/2 South 1st Street,12
2117 West 49th Street,East 20th Street,12
2106 West 7th Street,7100 Carver Avenue,12
2008 Kinney Avenue,2907 Townes Lane,12
11405 Alterra Parkway,2800 Tom Miller Street,12
7600 Wood Hollow Drive,1402 Hillmont Street,12
7516 Hardy Drive,207 West 18th Street,12
2624 Western Trails Boulevard,2008 Kinney Avenue,12
East 20th Street,2400 East Oltorf Street,12
2609 Deerfoot Trail,"Barley Bean, South Lamar Boulevard",12
Red River Street,919 Park Plaza,12
2008 Kinney Avenue,4707 Weidemar Lane,12
5005 Red Bluff Road,Reserve Road,12
2305 Newfield Lane,1702 Briar Street,12
510 Gate Tree Lane,1702 Briar Street,12
1629 West 11 1/2 Street,6210 Shadow Valley Drive,12
2908 Beanna Street,"St. Edwards University, 3001 South Congress Avenue",12
400 1/2 South 1st Street,2404 Kathy Cove,12
1629 West 11 1/2 Street,2904 Barton Skyway,12
1400 South Pleasant Valley Road,5005 Red Bluff Road,12
2505 Longview Street,3400 Catalina Drive,12
Reserve Road,Ann & Roy Hike & Bike Trail,12
2605 Whitis Avenue,3501 Duval Road,12
2605 Whitis Avenue,3201 Kay Street,12
Reserve Road,"Panera Bread, North Capital of Texas Highway",12
Reserve Road,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",12
"Trader Joes, 2805 Bee Caves Road",1403 East 2nd Street,12
1629 West 11 1/2 Street,600 Hammack Drive,12
400 1/2 South 1st Street,Arboretum Boulevard,12
2117 West 49th Street,7511 Meadowview Lane,12
400 1/2 South 1st Street,Arnulfo Alonso Way,12
Riata Trace Parkway,North Mopac Service Road,12
3301 Hollywood Avenue,2400 East Oltorf Street,12
1702 Briar Street,1928 Holly Hill Drive,12
400 1/2 South 1st Street,"St. Francis School, Twin Crest Drive",12
400 West Saint Elmo Road,1155 Curve Street,12
400 West Saint Elmo Road,1517 Summer Stone Drive,12
3001 South Congress Avenue,2212 Village Way Drive,12
1702 Briar Street,2609 Deerfoot Trail,12
"Infiniti, Burnet Road",1155 Curve Street,12
1104 Flanagan Cove,811 East Riverside Drive,12
"Hotel Granduca Pool, Capital Ridge Driveway",West Gibson Street,12
2106 West 7th Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",12
"Infiniti, Burnet Road",4504 Avenue C,12
2609 Deerfoot Trail,313 Lone Oak Drive,12
Reserve Road,2702 Valley Spring Road,12
2008 Kinney Avenue,2106 Shoalmont Drive,12
1106 Clayton Lane,600 Hammack Drive,12
106 East 55th Street,North Mopac Service Road,12
106 East 55th Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",12
2008 Kinney Avenue,1157 Salina Street,12
2207 De Verne Street,1400 South Pleasant Valley Road,12
2008 Kinney Avenue,11405 Alterra Parkway,12
"Cambria Hotel Austin Airport, Discovery Lane",2023 East 5th Street,12
3819 Jefferson Street,405 East Ben White Boulevard,12
"Cambria Hotel Austin Airport, Discovery Lane",2002 Dexter Street,12
1400 South Pleasant Valley Road,3400 Catalina Drive,12
7100 Carver Avenue,Lady Bird Lake Hike and Bike Trail,12
Reserve Road,3126 Honey Tree Lane,12
1915 East Martin Luther King Jr Boulevard,North Mopac Service Road,12
"Infiniti, Burnet Road",909 East Koenig Lane,12
7100 Carver Avenue,106 East 55th Street,12
"Trader Joes, 2805 Bee Caves Road",2904 Barton Skyway,12
2908 Beanna Street,North Interstate 35,12
110 Oertli Lane,110 Oertli Lane,12
313 Lone Oak Drive,3708 Meredith Street,12
5209 North Lamar Boulevard,2203 Philomena Street,12
2605 Whitis Avenue,Ann & Roy Hike & Bike Trail,12
1629 West 11 1/2 Street,1903 Fairlawn Lane,12
2003 Northridge Drive,611 Fairfield Lane,12
2605 Whitis Avenue,8608 Primrose Lane,12
1629 West 11 1/2 Street,2106 Shoalmont Drive,12
1155 Curve Street,405 East Ben White Boulevard,12
1517 Summer Stone Drive,1903 Fairlawn Lane,12
2106 West 7th Street,3707 South 2nd Street,12
4608 Mount Vernon Drive,2106 West 7th Street,12
North Mopac Service Road,1400 South Pleasant Valley Road,12
3309 East 17th Street,842 Springdale Road,12
1304 Cometa Street,400 1/2 South 1st Street,12
3567 Ranch to Market Road 2222,2505 Longview Street,12
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",2106 West 7th Street,12
2901 Via Fortuna,207 West 18th Street,12
1500 Royal Crest Drive,3819 Jefferson Street,12
1000 East 41st Street,2008 Kinney Avenue,12
842 Springdale Road,West 15th Street,12
3567 Ranch to Market Road 2222,North Mopac Service Road,12
1403 East 2nd Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",12
490 Little Texas Lane,11405 Alterra Parkway,12
1500 Royal Crest Drive,4501 Rowood Road,12
4504 Avenue C,"St. Francis School, Twin Crest Drive",12
2106 Shoalmont Drive,1157 Salina Street,12
North Mopac Service Road,7516 Hardy Drive,12
North Mopac Service Road,9669 New Airport Drive,12
207 West 18th Street,842 Springdale Road,12
4504 Avenue C,"Infiniti, Burnet Road",12
North Mopac Service Road,North Interstate 35,12
207 West 18th Street,5700 South Mopac Expressway,12
1400 South Pleasant Valley Road,2207 De Verne Street,12
207 West 18th Street,4701 Monterey Oaks Boulevard,12
207 West 18th Street,3018 Spirit of Texas Drive,12
207 West 18th Street,3001 West Anderson Lane,12
West Gibson Street,7088 Easy Wind Drive,12
East 20th Street,"Barley Bean, South Lamar Boulevard",12
East 20th Street,"Cambria Hotel Austin Airport, Discovery Lane",12
1000 East 41st Street,3819 Jefferson Street,12
North Mopac Service Road,106 East 55th Street,12
North Interstate 35,8608 Primrose Lane,12
7804 Tisdale Drive,1402 Hillmont Street,12
1500 Royal Crest Drive,2507 Bridle Path,12
3400 Catalina Drive,Gillis District Park Trail,12
"Yellow Jacket Stadium, Hargrave Street","Riverside Golf Course, 1020 Grove Boulevard",12
Nash Hernandez Sr Road,1911 Lightsey Road,12
East 20th Street,2207 De Verne Street,12
1419 Corona Drive,2605 Whitis Avenue,12
1419 Corona Drive,2908 Beanna Street,12
1911 Lightsey Road,Ann & Roy Hike & Bike Trail,12
3405 Westledge Circle,2505 Longview Street,12
1000 East 41st Street,1204 West 29th Street,12
"Lions Municipal Golf Course, 2901 Enfield Road",West Gibson Street,12
Nash Hernandez Sr Road,3301 Hollywood Avenue,12
909 East Koenig Lane,Nash Hernandez Sr Road,12
2904 Barton Skyway,2624 Western Trails Boulevard,12
Nash Hernandez Sr Road,5209 North Lamar Boulevard,12
9669 New Airport Drive,3600 Presidential Boulevard,12
Nash Hernandez Sr Road,611 Fairfield Lane,12
2904 Barton Skyway,2500 Candlewood Court,12
3501 Duval Road,11700 Stonehollow Drive,12
3501 Duval Road,1402 Hillmont Street,12
2904 Barton Skyway,2108 White Horse Trail,12
909 East Koenig Lane,4368 Freidrich Lane,12
2907 Townes Lane,1155 Curve Street,12
3501 Duval Road,3001 West Anderson Lane,12
2400 East Oltorf Street,5209 North Lamar Boulevard,12
3005 Scenic Drive,West Gibson Street,12
1500 Royal Crest Drive,1419 Corona Drive,12
1400 South Pleasant Valley Road,1106 Clayton Lane,12
2907 Townes Lane,2023 East 5th Street,12
3501 Duval Road,"Great Hills Park & Ride, OChester Boulevard",12
2023 East 5th Street,"Infiniti, Burnet Road",12
1157 Salina Street,842 Springdale Road,12
1000 East 41st Street,811 East Riverside Drive,12
1915 East Martin Luther King Jr Boulevard,2003 Northridge Drive,12
2203 Philomena Street,2204 Vanderbilt Lane,12
1915 East Martin Luther King Jr Boulevard,3708 Meredith Street,12
3707 South 2nd Street,400 West Saint Elmo Road,12
3707 South 2nd Street,405 East Ben White Boulevard,12
2008 Kinney Avenue,South Mopac Service Road,12
2908 Beanna Street,1419 Corona Drive,12
West 15th Street,"Panera Bread, North Capital of Texas Highway",12
5001 Wasson Road,2008 Kinney Avenue,12
4501 Rowood Road,West 15th Street,12
3707 South 2nd Street,"Cambria Hotel Austin Airport, Discovery Lane",12
811 East Riverside Drive,2500 Candlewood Court,12
