inicio,fin,cantidad_viajes
2908 Beanna Street,2505 Longview Street,700
2106 West 7th Street,709 West 6th Street,696
Nash Hernandez Sr Road,709 West 6th Street,696
1157 Salina Street,221 East 9th Street,688
400 1/2 South 1st Street,West Gibson Street,684
400 1/2 South 1st Street,1402 Hillmont Street,676
2008 Kinney Avenue,221 East 9th Street,676
2023 East 5th Street,3600 Presidential Boulevard,675
221 East 9th Street,2106 West 7th Street,673
2500 Candlewood Court,221 East 9th Street,669
709 West 6th Street,1500 Royal Crest Drive,666
4368 Freidrich Lane,221 East 9th Street,657
3001 South Congress Avenue,221 East 9th Street,656
2505 Longview Street,3304 Guadalupe Street,653
11405 Alterra Parkway,3600 Presidential Boulevard,644
"Riverside Golf Course, 1020 Grove Boulevard",221 East 9th Street,638
2106 West 7th Street,221 East 9th Street,637
Red River Street,1702 Briar Street,637
221 East 9th Street,2500 Candlewood Court,636
709 West 6th Street,1400 South Pleasant Valley Road,635
221 East 9th Street,2400 East Oltorf Street,635
221 East 9th Street,1903 Fairlawn Lane,631
1903 Fairlawn Lane,221 East 9th Street,629
3600 Presidential Boulevard,West Gibson Street,625
221 East 9th Street,11405 Alterra Parkway,622
221 East 9th Street,4504 Avenue C,621
East 20th Street,221 East 9th Street,619
2505 Longview Street,East 20th Street,614
1402 Hillmont Street,1402 Hillmont Street,613
221 East 9th Street,2008 Kinney Avenue,611
221 East 9th Street,1157 Salina Street,606
221 East 9th Street,611 Fairfield Lane,599
1911 Lightsey Road,709 West 6th Street,599
4504 Avenue C,221 East 9th Street,597
3304 Guadalupe Street,709 West 6th Street,596
3600 Presidential Boulevard,1402 Hillmont Street,592
221 East 9th Street,2002 Dexter Street,588
Red River Street,1500 Royal Crest Drive,585
2605 Whitis Avenue,3304 Guadalupe Street,583
221 East 9th Street,2241 Cromwell Circle,583
709 West 6th Street,2008 Kinney Avenue,580
West 15th Street,2605 Whitis Avenue,577
2002 Dexter Street,221 East 9th Street,575
811 East Riverside Drive,Red River Street,574
221 East 9th Street,3001 South Congress Avenue,573
313 Lone Oak Drive,709 West 6th Street,573
207 West 18th Street,1402 Hillmont Street,571
221 East 9th Street,5209 North Lamar Boulevard,570
709 West 6th Street,313 Lone Oak Drive,569
3304 Guadalupe Street,2605 Whitis Avenue,565
709 West 6th Street,Nash Hernandez Sr Road,564
3001 South Congress Avenue,709 West 6th Street,559
Red River Street,Reserve Road,557
2008 Kinney Avenue,709 West 6th Street,553
1403 East 2nd Street,1403 East 2nd Street,552
3707 South 2nd Street,709 West 6th Street,552
2605 Whitis Avenue,West 15th Street,549
611 Fairfield Lane,221 East 9th Street,548
1402 Hillmont Street,400 1/2 South 1st Street,547
2505 Longview Street,West 15th Street,545
709 West 6th Street,1911 Lightsey Road,542
West 15th Street,Red River Street,541
3304 Guadalupe Street,207 West 18th Street,540
3707 South 2nd Street,221 East 9th Street,540
Red River Street,Nash Hernandez Sr Road,536
West Gibson Street,400 1/2 South 1st Street,535
1702 Briar Street,3600 Presidential Boulevard,535
1629 West 11 1/2 Street,Red River Street,531
221 East 9th Street,"Riverside Golf Course, 1020 Grove Boulevard",530
Gillis District Park Trail,221 East 9th Street,529
1403 East 2nd Street,West Gibson Street,529
3304 Guadalupe Street,2505 Longview Street,529
Red River Street,1400 South Pleasant Valley Road,529
221 East 9th Street,3707 South 2nd Street,528
207 West 18th Street,West 15th Street,524
2605 Whitis Avenue,East 20th Street,521
709 West 6th Street,3304 Guadalupe Street,521
"Barley Bean, South Lamar Boulevard",221 East 9th Street,519
"Barley Bean, South Lamar Boulevard",709 West 6th Street,517
207 West 18th Street,2908 Beanna Street,517
11405 Alterra Parkway,221 East 9th Street,516
West Gibson Street,1403 East 2nd Street,514
5209 North Lamar Boulevard,221 East 9th Street,512
221 East 9th Street,Gillis District Park Trail,511
West 15th Street,207 West 18th Street,510
1911 Lightsey Road,221 East 9th Street,507
2605 Whitis Avenue,1402 Hillmont Street,505
709 West 6th Street,11405 Alterra Parkway,501
207 West 18th Street,3304 Guadalupe Street,501
221 East 9th Street,1911 Lightsey Road,500
Red River Street,West 15th Street,498
3600 Presidential Boulevard,1403 East 2nd Street,497
221 East 9th Street,3811 Avenue H,495
709 West 6th Street,2002 Dexter Street,492
4368 Freidrich Lane,Red River Street,491
2904 Barton Skyway,221 East 9th Street,490
709 West 6th Street,3707 South 2nd Street,487
1629 West 11 1/2 Street,3600 Presidential Boulevard,486
709 West 6th Street,3001 South Congress Avenue,486
2908 Beanna Street,709 West 6th Street,485
3301 Hollywood Avenue,709 West 6th Street,485
West 15th Street,3600 Presidential Boulevard,485
"St. Edwards University, 3001 South Congress Avenue",221 East 9th Street,484
400 1/2 South 1st Street,400 1/2 South 1st Street,483
313 Lone Oak Drive,3600 Presidential Boulevard,482
709 West 6th Street,"Barley Bean, South Lamar Boulevard",481
207 West 18th Street,West Gibson Street,480
1903 Fairlawn Lane,Red River Street,479
Nash Hernandez Sr Road,3600 Presidential Boulevard,473
811 East Riverside Drive,709 West 6th Street,473
West 15th Street,2505 Longview Street,471
1000 East 41st Street,2605 Whitis Avenue,470
3811 Avenue H,221 East 9th Street,470
Red River Street,811 East Riverside Drive,467
2505 Longview Street,1402 Hillmont Street,466
2908 Beanna Street,Red River Street,464
West Gibson Street,West Gibson Street,462
2002 Dexter Street,709 West 6th Street,461
709 West 6th Street,3301 Hollywood Avenue,459
Gillis District Park Trail,709 West 6th Street,458
221 East 9th Street,2904 Barton Skyway,457
221 East 9th Street,"Barley Bean, South Lamar Boulevard",454
4368 Freidrich Lane,3600 Presidential Boulevard,452
Reserve Road,3600 Presidential Boulevard,452
1402 Hillmont Street,2605 Whitis Avenue,448
Red River Street,313 Lone Oak Drive,447
709 West 6th Street,5209 North Lamar Boulevard,446
709 West 6th Street,Gillis District Park Trail,442
1402 Hillmont Street,1403 East 2nd Street,440
313 Lone Oak Drive,Red River Street,439
2908 Beanna Street,207 West 18th Street,438
West Gibson Street,207 West 18th Street,436
Red River Street,4368 Freidrich Lane,434
709 West 6th Street,811 East Riverside Drive,433
2241 Cromwell Circle,Red River Street,432
709 West 6th Street,2908 Beanna Street,429
1402 Hillmont Street,207 West 18th Street,427
3301 Hollywood Avenue,3600 Presidential Boulevard,426
East 20th Street,2505 Longview Street,425
2904 Barton Skyway,709 West 6th Street,424
490 Little Texas Lane,221 East 9th Street,424
3304 Guadalupe Street,Red River Street,421
2008 Kinney Avenue,Red River Street,420
2507 Bridle Path,709 West 6th Street,419
1403 East 2nd Street,1402 Hillmont Street,419
Red River Street,1629 West 11 1/2 Street,419
East 20th Street,2605 Whitis Avenue,419
3600 Presidential Boulevard,11405 Alterra Parkway,419
3600 Presidential Boulevard,2023 East 5th Street,418
221 East 9th Street,South Interstate 35,417
Red River Street,East 20th Street,416
709 West 6th Street,2507 Bridle Path,415
1915 East Martin Luther King Jr Boulevard,Red River Street,415
East 20th Street,Red River Street,415
221 East 9th Street,"Cambria Hotel Austin Airport, Discovery Lane",414
11405 Alterra Parkway,709 West 6th Street,411
1500 Royal Crest Drive,3600 Presidential Boulevard,408
709 West 6th Street,East 20th Street,406
3301 Hollywood Avenue,Red River Street,404
221 East 9th Street,"St. Edwards University, 3001 South Congress Avenue",403
5209 North Lamar Boulevard,709 West 6th Street,403
2207 De Verne Street,221 East 9th Street,402
1903 Fairlawn Lane,709 West 6th Street,401
1400 South Pleasant Valley Road,3600 Presidential Boulevard,400
221 East 9th Street,4501 Rowood Road,399
909 East Koenig Lane,Red River Street,399
Ann & Roy Butler Hike and Bike Trail,221 East 9th Street,397
2500 Candlewood Court,Red River Street,395
2106 West 7th Street,Red River Street,394
3600 Presidential Boulevard,1629 West 11 1/2 Street,394
Red River Street,909 East Koenig Lane,393
4501 Rowood Road,221 East 9th Street,392
400 1/2 South 1st Street,207 West 18th Street,391
1402 Hillmont Street,2505 Longview Street,387
1915 East Martin Luther King Jr Boulevard,709 West 6th Street,386
2002 Dexter Street,Red River Street,386
1702 Briar Street,1402 Hillmont Street,385
1731 East 38½ Street,221 East 9th Street,385
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",221 East 9th Street,384
221 East 9th Street,490 Little Texas Lane,381
221 East 9th Street,1000 East 41st Street,381
11405 Alterra Parkway,11405 Alterra Parkway,381
2605 Whitis Avenue,909 East Koenig Lane,378
221 East 9th Street,2793 East 7th Street,378
709 West 6th Street,2904 Barton Skyway,378
221 East 9th Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",378
221 East 9th Street,106 East 55th Street,376
2023 East 5th Street,1403 East 2nd Street,375
